dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
africa,NCT01489527,Preparedness Study - HPV Vaccine,OTHER,PREVENTION,BIOLOGICAL | OTHER,406,2,2,2,South Africa | United States,South Africa,True,2012-09-01,2014-04-01,2015-01-12,577,286,268,True,True,True,False,28480334|28490581,,,78.89,35.28,45.45,56.94
africa,NCT05140954,The Women TAF-FTC Benchmark Study,OTHER,PREVENTION,DRUG,54,3,1,1,Kenya,Kenya,True,2023-03-28,2023-12-19,2025-10-27,266,678,495,True,True,False,False,,,,66.39,46.39,39.2,53.95
africa,NCT01026454,Valacyclovir vs. Acyclovir as HSV-2 Suppressive Therapy: Effect on Plasma HIV-1 Levels Among HIV-1/HSV-2 Co-infected Persons,OTHER,TREATMENT,DRUG,32,2,1,1,Kenya,Kenya,True,2010-02-01,2010-11-01,2014-03-05,273,1220,61,True,True,True,False,12447756|16327322|16896053|21998479,,,54.72,51.53,33.36,49.33
africa,NCT04242992,Effectiveness of Transdiagnostic Cognitive Behavioral Therapy for Improving HIV Treatment Outcomes in South Africa,OTHER,SUPPORTIVE_CARE,BEHAVIORAL | OTHER,399,2,1,1,South Africa,South Africa,True,2021-11-12,2025-05-23,2026-02-19,1288,272,659,True,True,True,False,36549749|41282709|41592903,,,58.05,39.86,35.02,47.08
africa,NCT03875950,Standardized Patient Encounters to Improve PrEP Counseling for Adolescent Girls and Young Women in Kenya,OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,232,2,1,1,Kenya,Kenya,True,2019-03-02,2021-06-30,2022-10-12,851,469,15,True,True,True,False,32565464,,,52.5,43.33,32.25,45.24
africa,NCT04408729,PrEP My Way: A Novel PrEP Delivery System to Meet the Needs of Young African Women,OTHER,PREVENTION,OTHER,150,2,1,1,Kenya,Kenya,True,2020-08-10,2022-10-26,2024-05-24,807,576,90,True,True,False,False,,,,48.33,45.42,30.16,43.68
africa,NCT04030520,"Improving Uptake and Adherence to HIV Prevention Services With Pre-exposure Prophylaxis (PrEP), HIV Self- Testing and Adherence Support for Very High Risk HIV-negative Young Women Aged 15-24 in Kampala, Uganda",OTHER,PREVENTION,BEHAVIORAL,60,2,1,1,Uganda,Uganda,True,2019-07-08,2020-10-31,2025-07-15,481,1718,0,True,True,False,False,,,,46.11,48.61,29.05,43.57
africa,NCT01146873,Treatment Options for Protease Inhibitor-exposed Children,OTHER,TREATMENT,DRUG,300,4,1,1,South Africa,South Africa,True,2010-07-01,2014-12-01,2016-05-04,1614,520,23,True,True,True,True,26529159|28419200,26529159,337,48.89,36.8,38.45,42.57
africa,NCT02378207,"Safety and Immunogenicity Study of BCG, H4:IC31, and H56:IC31 Revaccination in Healthy Adolescents",OTHER,PREVENTION,BIOLOGICAL,84,4,1,1,South Africa,South Africa,True,2015-05-01,2016-10-31,2019-11-18,549,1113,78,True,True,True,False,32382714,,,47.77,41.25,29.89,41.91
africa,NCT03928418,Mobile Technology to Extend Clinic-based Counseling for HIV+s in Uganda,OTHER,TREATMENT,BEHAVIORAL,272,3,1,1,Uganda,Uganda,True,2019-09-19,2021-08-30,2023-09-14,711,745,162,True,True,True,False,21713433|23007881|23432593|24505411|25276561|36706675|37551890,,,47.22,39.58,29.61,41.02
